Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Application method (product.metafields.shopify.application-method),Bug type (product.metafields.shopify.bug-type),Chocolate type (product.metafields.shopify.chocolate-type),Color (product.metafields.shopify.color-pattern),Country (product.metafields.shopify.country),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary use (product.metafields.shopify.dietary-use),Dispenser type (product.metafields.shopify.dispenser-type),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Food product form (product.metafields.shopify.food-product-form),Ingredient category (product.metafields.shopify.ingredient-category),Ingredients (product.metafields.shopify.ingredients),Lubricant application (product.metafields.shopify.lubricant-application),Material (product.metafields.shopify.material),Pasta type (product.metafields.shopify.pasta-type),Pet supply product form (product.metafields.shopify.pet-supply-product-form),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Tea input type (product.metafields.shopify.tea-input-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,image_url_go_upc,image_url_barcode_lookup
9.08E+13,"WESTPOINT NATURALS   Vegan Fruit Bears, 100g/6pk","<p>WESTPOINT NATURALS   Vegan Fruit Bears, 100g/6pk</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,14390630-100,3269,shopify,continue,manual,6.62,7.94,TRUE,TRUE,'90778659011045,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,27,active,,
2.06E+13,"PLEASURE PODS   Lubricant & Skincare 14g, 10pk","<p>PLEASURE PODS   Lubricant &amp; Skincare 14g, 10pk</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,14210050-10,3269,shopify,continue,manual,13.49,16.19,TRUE,TRUE,'20627987968327,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,82.4,active,,
8.71E+12,"HAIRWONDER   Hair Strength Keratin Spray, 50ml","<p>HAIRWONDER   Hair Strength Keratin Spray, 50ml</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,82580600-50,3269,shopify,continue,manual,27.19,32.63,TRUE,TRUE,'8710267117053,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,20.44,active,,
8.71E+12,"HAIRWONDER   Hair Strength Serum, 30ml","<p>HAIRWONDER   Hair Strength Serum, 30ml</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,82580500-30,3269,shopify,continue,manual,27.19,32.63,TRUE,TRUE,'8710267117046,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,20.44,active,,
8.71E+12,"HAIRWONDER   Hair Strength Mask, 150ml","<p>HAIRWONDER   Hair Strength Mask, 150ml</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,82580400-150,3269,shopify,continue,manual,22.09,26.51,TRUE,TRUE,'8710267117039,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,16.66,active,,
8.71E+12,"HAIRWONDER   Hair Strength Leave-in Conditioner, 75ml","<p>HAIRWONDER   Hair Strength Leave-in Conditioner, 75ml</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,82580300-75,3269,shopify,continue,manual,18.69,22.43,TRUE,TRUE,'8710267117022,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,13.87,active,,
8.71E+12,"HAIRWONDER   Hair Strength Conditioner, 200ml","<p>HAIRWONDER   Hair Strength Conditioner, 200ml</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,82580200-200,3269,shopify,continue,manual,23.79,28.55,TRUE,TRUE,'8710267117015,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,17.77,active,,
8.71E+12,"HAIRWONDER   Hair Strength Shampoo, 200ml","<p>HAIRWONDER   Hair Strength Shampoo, 200ml</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,82580100-200,3269,shopify,continue,manual,23.79,28.55,TRUE,TRUE,'8710267117008,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,17.77,active,,
6.82E+12,EPSOM GEL *   Epsomgel Counter Disp 30ml12pk,<p>EPSOM GEL *   Epsomgel Counter Disp 30ml12pk</p>,EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,50425850-31,3269,shopify,continue,manual,143.18,171.82,TRUE,TRUE,'6823845187248,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,89.49,active,,
9.90E+11,"SLOTH MEDICAL (R)   African Aloe,10-pack blister, 12pck/display","<p>SLOTH MEDICAL (R)   African Aloe,10-pack blister, 12pck/display</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,82267145-12,3269,shopify,continue,manual,174.34,209.2,TRUE,TRUE,'990312626701,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,108.96,active,,
9.90E+11,"SLOTH MEDICAL (R)   Passion Flower, 10-pack blister, 12pck/display","<p>SLOTH MEDICAL (R)   Passion Flower, 10-pack blister, 12pck/display</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,82267151-12,3269,shopify,continue,manual,161.28,193.54,TRUE,TRUE,'990312626671,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,100.8,active,,
9.90E+11,"SLOTH MEDICAL (R)   Full Globe Artichoke,10-pack blister, 12pck/displa","<p>SLOTH MEDICAL (R)   Full Globe Artichoke,10-pack blister, 12pck/displa</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,82267147-12,3269,shopify,continue,manual,161.28,193.54,TRUE,TRUE,'990312626657,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,100.8,active,,
9.90E+11,"INTIMAE FEMININE   Cranclear UTI & Microbiome Support, 60'S","<p>INTIMAE FEMININE   Cranclear UTI &amp; Microbiome Support, 60'S</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,21910020-60,3269,shopify,continue,manual,44.99,53.99,TRUE,TRUE,'990312166153,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,30.99,active,,
8.79E+11,"GANDALF   Chlorella Org, 150g powder","<p>GANDALF   Chlorella Org, 150g powder</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12020040-150,3269,shopify,continue,manual,33.31,39.97,TRUE,TRUE,'878718007235,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,20.82,active,,
8.79E+11,"GANDALF   California Spirulina, 150g powder","<p>GANDALF   California Spirulina, 150g powder</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12030005-150,3269,shopify,continue,manual,48,57.6,TRUE,TRUE,'878718006214,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,30,active,,
8.79E+11,"GANDALF   California Spirulina 500mg, 150tabs","<p>GANDALF   California Spirulina 500mg, 150tabs</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12030010-150,3269,shopify,continue,manual,41.2,49.44,TRUE,TRUE,'878718006009,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,25.75,active,,
8.79E+11,"GANDALF   Spirulina Org, 300g powder","<p>GANDALF   Spirulina Org, 300g powder</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12030090-300,3269,shopify,continue,manual,51.26,61.52,TRUE,TRUE,'878718004265,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,32.04,active,,
