Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Application method (product.metafields.shopify.application-method),Bug type (product.metafields.shopify.bug-type),Chocolate type (product.metafields.shopify.chocolate-type),Color (product.metafields.shopify.color-pattern),Country (product.metafields.shopify.country),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary use (product.metafields.shopify.dietary-use),Dispenser type (product.metafields.shopify.dispenser-type),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Food product form (product.metafields.shopify.food-product-form),Ingredient category (product.metafields.shopify.ingredient-category),Ingredients (product.metafields.shopify.ingredients),Lubricant application (product.metafields.shopify.lubricant-application),Material (product.metafields.shopify.material),Pasta type (product.metafields.shopify.pasta-type),Pet supply product form (product.metafields.shopify.pet-supply-product-form),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Tea input type (product.metafields.shopify.tea-input-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
75820190309,Modern Seasonings   Naturally Cajun Hot 85g,<p>Modern Seasonings   Naturally Cajun Hot 85g</p>,Purity Life Health Products,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,'354110,3269,shopify,continue,manual,5.23,6.28,TRUE,TRUE,'075820190309,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3.27,active
75820194000,Modern Seasonings   Naturally Salt Free Mild 57g,<p>Modern Seasonings   Naturally Salt Free Mild 57g</p>,Purity Life Health Products,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,'354115,3269,shopify,continue,manual,5.23,6.28,TRUE,TRUE,'075820194000,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3.27,active
6.27733E+11,Organic Traditions   Chocolate Cacao Nibs Maca 200g,<p>Organic Traditions   Chocolate Cacao Nibs Maca 200g</p>,Purity Life Health Products,,NewVersion,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,690603-PurityLife,3269,shopify,continue,manual,15.66,18.8,TRUE,TRUE,'627733002936,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,10,active
6.27733E+11,Organic Traditions   Organic Watermelon Jerky 165g,<p>Organic Traditions   Organic Watermelon Jerky 165g</p>,Purity Life Health Products,,NewVersion,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,690520-PurityLife,3269,shopify,continue,manual,21.28,25.54,TRUE,TRUE,'627733003445,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,13,active
6.66183E+11,Theraneem Naturals   Scalp Therape Conditioner 360ml,<p>Theraneem Naturals   Scalp Therape Conditioner 360ml</p>,Purity Life Health Products,,,Discontinue,TRUE,Title,Default Title,,,,,,,,'680223,3269,shopify,deny,manual,23.26,27.92,TRUE,TRUE,'666183000598,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,14.54,active
3.00366E+13,Ricola-Lemon Mint,<p>Lemon Mint</p>,Purity Life Health Products,,,NewVersion,TRUE,Title,Default Title,,,,,,,,'673111,200,shopify,continue,manual,46.49,53.46,TRUE,TRUE,'30036602079480,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,30.99,active
2.083E+13,Jumbo&Gum Bag Assortment Disp132pc NEW-,<p>Jumbo &amp; Gum Bags 132ct</p>,Puresource,,,NewVersion,TRUE,Title,Default Title,,,,,,,,GUM00070,200,shopify,continue,manual,753.8,942.25,TRUE,TRUE,'20830028000706,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,456.85,active
2.083E+13,PUR GUM    Displays    PUR GUM    Displays    Clip Strip Aspartame Free Gum 36pc,<p>PUR GUM    Displays    PUR GUM    Displays    Clip Strip Aspartame Free Gum 36pc</p>,Puresource,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,GUM00446,3269,shopify,continue,manual,199.36,239.23,TRUE,TRUE,'20830028004469,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,124.6,active
2.083E+13,Gum Blister Assortment Disp 192pc NEW-,,Puresource,,,NewVersion,TRUE,Title,Default Title,,,,,,,,GUM00067,200,shopify,continue,manual,405.37,506.72,TRUE,TRUE,'20830028000676,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,245.68,active
2.083E+13,PUR Gum   PUR Gum Bag Peppermint Clip Strips 1disp,<p>PUR Gum   PUR Gum Bag Peppermint Clip Strips 1disp</p>,Purity Life Health Products,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,'616907,3269,shopify,continue,manual,194.27,233.13,TRUE,TRUE,'20830028004384,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,121.42,active
