Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Application method (product.metafields.shopify.application-method),Bug type (product.metafields.shopify.bug-type),Chocolate type (product.metafields.shopify.chocolate-type),Color (product.metafields.shopify.color-pattern),Country (product.metafields.shopify.country),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary use (product.metafields.shopify.dietary-use),Dispenser type (product.metafields.shopify.dispenser-type),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Food product form (product.metafields.shopify.food-product-form),Ingredient category (product.metafields.shopify.ingredient-category),Ingredients (product.metafields.shopify.ingredients),Lubricant application (product.metafields.shopify.lubricant-application),Material (product.metafields.shopify.material),Pasta type (product.metafields.shopify.pasta-type),Pet supply product form (product.metafields.shopify.pet-supply-product-form),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Tea input type (product.metafields.shopify.tea-input-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
4.90E+12,"BASICARE   SPIRAL HAIR TIES, CLEAR, 8PK","<p>BASICARE   SPIRAL HAIR TIES, CLEAR, 8PK</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3885,3269,shopify,continue,manual,6,7.2,TRUE,TRUE,'4895125938859,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3.75,active
4.90E+12,"BASICARE   HAIR BANDEAU, BLACK","<p>BASICARE   HAIR BANDEAU, BLACK</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3883,3269,shopify,continue,manual,3.12,3.74,TRUE,TRUE,'4895125938835,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,1.95,active
4.90E+12,"BASICARE   SIDE COMB, BROWN, 4PK","<p>BASICARE   SIDE COMB, BROWN, 4PK</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3879,3269,shopify,continue,manual,2.8,3.36,TRUE,TRUE,'4895125938798,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,1.75,active
4.90E+12,BASICARE   HELIX DETANGLING BRUSH,<p>BASICARE   HELIX DETANGLING BRUSH</p>,AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3794,3269,shopify,continue,manual,12,14.4,TRUE,TRUE,'4895125937944,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,7.5,active
4.90E+12,"BASICARE   HAIR CLIP & ELASTIC SET, BLACK, 6PCS","<p>BASICARE   HAIR CLIP &amp; ELASTIC SET, BLACK, 6PCS</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3774,3269,shopify,continue,manual,2.8,3.36,TRUE,TRUE,'4895125937746,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,1.75,active
4.90E+12,"BASICARE   HAIR ELASTICS BLACK & CLEAR, (50)","<p>BASICARE   HAIR ELASTICS BLACK &amp; CLEAR, (50)</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3738,3269,shopify,continue,manual,2.4,2.88,TRUE,TRUE,'4895125937388,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,1.5,active
4.90E+12,"BASICARE   HAIR NET, BROWN 2PK","<p>BASICARE   HAIR NET, BROWN 2PK</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3737,3269,shopify,continue,manual,2.4,2.88,TRUE,TRUE,'4895125937371,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,1.5,active
4.90E+12,"BASICARE   CLAW CLIP, FLOWER, BLACK","<p>BASICARE   CLAW CLIP, FLOWER, BLACK</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3663,3269,shopify,continue,manual,4.72,5.66,TRUE,TRUE,'4895125936633,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2.95,active
4.90E+12,"BASICARE   BOBBY PINS, BROWN 5CM, (80)","<p>BASICARE   BOBBY PINS, BROWN 5CM, (80)</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3652,3269,shopify,continue,manual,5.6,6.72,TRUE,TRUE,'4895125936527,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3.5,active
4.90E+12,"BASICARE   BOBBY PINS, BLACK 5CM, (80)","<p>BASICARE   BOBBY PINS, BLACK 5CM, (80)</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3651,3269,shopify,continue,manual,5.6,6.72,TRUE,TRUE,'4895125936510,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3.5,active
4.90E+12,"BASICARE   BOBBY PINS, BLONDE 5CM, (80)","<p>BASICARE   BOBBY PINS, BLONDE 5CM, (80)</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3628,3269,shopify,continue,manual,5.6,6.72,TRUE,TRUE,'4895125936282,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3.5,active
4.90E+12,"BASICARE   SNAG FREE ELASTICS, BLONDE (12)","<p>BASICARE   SNAG FREE ELASTICS, BLONDE (12)</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3465,3269,shopify,continue,manual,4,4.8,TRUE,TRUE,'4895125934653,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2.5,active
4.90E+12,"BASICARE   SNAP CLIP, BLACK, 6PK","<p>BASICARE   SNAP CLIP, BLACK, 6PK</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3460,3269,shopify,continue,manual,2.4,2.88,TRUE,TRUE,'4895125934608,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,1.5,active
4.90E+12,"BASICARE   SNAG FREE ELASTICS, MIX COLORS (22)","<p>BASICARE   SNAG FREE ELASTICS, MIX COLORS (22)</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3446,3269,shopify,continue,manual,4,4.8,TRUE,TRUE,'4895125934462,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2.5,active
4.90E+12,"BASICARE   SNAG FREE ELASTICS, MIX COLORS (24)","<p>BASICARE   SNAG FREE ELASTICS, MIX COLORS (24)</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3440,3269,shopify,continue,manual,4,4.8,TRUE,TRUE,'4895125934400,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2.5,active
4.90E+12,"BASICARE   SNAG FREE ELASTICS, MIX COLORS (48)","<p>BASICARE   SNAG FREE ELASTICS, MIX COLORS (48)</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3439,3269,shopify,continue,manual,4.4,5.28,TRUE,TRUE,'4895125934394,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2.75,active
4.90E+12,"BASICARE   SNAG FREE ELASTICS, MIX COLORS (24)","<p>BASICARE   SNAG FREE ELASTICS, MIX COLORS (24)</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3437,3269,shopify,continue,manual,4,4.8,TRUE,TRUE,'4895125934370,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2.5,active
4.90E+12,"BASICARE   SNAG FREE ELASTICS, BROWN (24)","<p>BASICARE   SNAG FREE ELASTICS, BROWN (24)</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3436,3269,shopify,continue,manual,4,4.8,TRUE,TRUE,'4895125934363,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2.5,active
4.90E+12,"BASICARE   SNAG FREE ELASTICS, BLACK (24)","<p>BASICARE   SNAG FREE ELASTICS, BLACK (24)</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3435,3269,shopify,continue,manual,4,4.8,TRUE,TRUE,'4895125934356,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2.5,active
4.90E+12,"BASICARE   HEADBAND, BLACK","<p>BASICARE   HEADBAND, BLACK</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3361,3269,shopify,continue,manual,4.72,5.66,TRUE,TRUE,'4895125933618,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2.95,active
4.90E+12,"BASICARE   HEADBAND, GREY","<p>BASICARE   HEADBAND, GREY</p>",AXEL KRAFT,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,BC3360,3269,shopify,continue,manual,4.72,5.66,TRUE,TRUE,'4895125933601,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2.95,active
