Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Application method (product.metafields.shopify.application-method),Bug type (product.metafields.shopify.bug-type),Chocolate type (product.metafields.shopify.chocolate-type),Color (product.metafields.shopify.color-pattern),Country (product.metafields.shopify.country),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary use (product.metafields.shopify.dietary-use),Dispenser type (product.metafields.shopify.dispenser-type),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Food product form (product.metafields.shopify.food-product-form),Ingredient category (product.metafields.shopify.ingredient-category),Ingredients (product.metafields.shopify.ingredients),Lubricant application (product.metafields.shopify.lubricant-application),Material (product.metafields.shopify.material),Pasta type (product.metafields.shopify.pasta-type),Pet supply product form (product.metafields.shopify.pet-supply-product-form),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Tea input type (product.metafields.shopify.tea-input-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
bacitin-oint-500iu-g-30g,BACITIN OINT 500IU/G 30G,,McKesson Canada Corporation,Health & Beauty > Health Care > First Aid,,NewVersion,TRUE,Title,Default Title,,,,,,,,506386-McKesson,0,shopify,continue,manual,8.99,,TRUE,TRUE,'057606490841,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,5,active
potassium-chloride-sol-20meq-15ml-500ml-pms,POTASSIUM CHLORIDE SOL 20MEQ/15ML 500ML PMS,,McKesson Canada Corporation,Business & Industrial > Science & Laboratory > Laboratory Chemicals,,NewVersion,TRUE,Title,Default Title,,,,,,,,'960328,0,shopify,continue,manual,33.99,,TRUE,TRUE,'057606860415,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,19.5,active
8.88849E+11,"Quest   Quest Frosted Cookie, Chocolate Cake, 8/box","<p>Quest   Quest Frosted Cookie, Chocolate Cake, 8/box</p>",True North Nutrition,,,,TRUE,Title,Default Title,,,,,,,,QU056U,3269,shopify,deny,manual,19.92,23.9,TRUE,TRUE,'888849012220,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
8.59614E+11,Bucked Up   Nitraflex® Blue Raspberry,<p>Bucked Up   Nitraflex® Blue Raspberry</p>,True North Nutrition,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,GAT002,3269,shopify,continue,manual,83.99,100.78,TRUE,TRUE,'859613650108,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,55.99,active
6.87456E+11,Made Good   Soft Baked Oat Bars   Soft Baked Bars - Cinnamon5X30G,<p>Made Good   Soft Baked Oat Bars   Soft Baked Bars - Cinnamon5X30G</p>,UNFI Canada Grocery Central,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,MDG122-UNFI,3269,shopify,continue,manual,6.02,7.22,TRUE,TRUE,'687456214320,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,4,active
nutrabolics-feed-bar-strawberry-shortcake-65g,NUTRABOLICS   FEED BAR   STRAWBERRY SHORTCAKE   65g - 12/box,<p>NUTRABOLICS   FEED BAR   STRAWBERRY SHORTCAKE   65g - 12/box</p>,Empire Health,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,NUT-982,3269,shopify,continue,manual,44.99,53.99,TRUE,TRUE,'793888656079,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,29.99,active
unda-febriplex-30-tablets-short-dated-end-of-february-2025-copy,Unda - Febriplex - 30 Tablets,"<p align=""left""><span><strong>Homeopathic remedy used for relief of symptoms associated with colds such as fever and pain. </strong></span></p>
<p align=""left""><span><strong>Ingredients:</strong></span></p>
<table border=""1"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td colspan=""2"" valign=""top""><address><span><strong>Each Tablet Contains:</strong></span></address></td>
</tr>
<tr>
<td><address><span>Aconitum napellus<em> (Monkshood)</em></span></address></td>
<td><address><span>6 X</span></address></td>
</tr>
<tr>
<td><address><span>Arnica montana<em> (Leopard's Bane)</em></span></address></td>
<td><address><span>8 X</span></address></td>
</tr>
<tr>
<td><address><span>Belladonna<em> (Deadly Nightshade)</em></span></address></td>
<td><address><span>8 X</span></address></td>
</tr>
<tr>
<td><address><span>Rhus toxicodendron<em> (Poison Ivy)</em></span></address></td>
<td><address><span>8 X</span></address></td>
</tr>
<tr>
<td><address><span>Eupatorium perfoliatum<em> (Bone-set)</em></span></address></td>
<td><address><span>10 X</span></address></td>
</tr>
<tr>
<td><address><span>Mercurius solubilis<em> (Mercury)</em></span></address></td>
<td><address><span>10 X</span></address></td>
</tr>
<tr>
<td><address><span>Gelsemium sempervirens<em> (Yellow Jasmine)</em></span></address></td>
<td><address><span>12 X</span></address></td>
</tr>
</tbody>
</table>",Seroyal,Health & Beauty > Health Care > Medicine & Drugs,,,TRUE,Title,Default Title,,,,,,,,815110-Seroyal,0,shopify,deny,manual,30,,TRUE,TRUE,'883196327201,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
7.76629E+11,Boo Bamboo   Baby Boo Biodegradable Travel Wipes 24 x 12ct,<p>Boo Bamboo Baby Boo Biodegradable Travel Wipes ( 24 x 12ct )</p>,Purity Life Health Products,Uncategorized,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,606766-BOX-PurityLife,3269,shopify,continue,manual,91.06,109.27,TRUE,TRUE,'10776629100243,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,57,active
6.28081E+11,ANS Performance   KetoWOW Bar Triple Chocolate 12 x 40g,<p>ANS Performance   KetoWOW Bar Triple Chocolate 12 x 40g</p>,Purity Life Health Products,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,'129706,3269,shopify,continue,manual,41.89,50.27,TRUE,TRUE,'628081004924,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,26.18,active
8.5001E+11,"Lola's Fine Sauces, Inc.   Hot Sauce   Lola'S Signature Ghost Recipe150ML","<p>Lola's Fine Sauces, Inc.   Hot Sauce   Lola'S Signature Ghost Recipe150ML</p>",UNFI Canada Grocery Central,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,LHS002-UNFI,3269,shopify,continue,manual,13.39,16.07,TRUE,TRUE,'850010472157,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,8,active
