Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Application method (product.metafields.shopify.application-method),Bug type (product.metafields.shopify.bug-type),Chocolate type (product.metafields.shopify.chocolate-type),Color (product.metafields.shopify.color-pattern),Country (product.metafields.shopify.country),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary use (product.metafields.shopify.dietary-use),Dispenser type (product.metafields.shopify.dispenser-type),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Food product form (product.metafields.shopify.food-product-form),Ingredient category (product.metafields.shopify.ingredient-category),Ingredients (product.metafields.shopify.ingredients),Lubricant application (product.metafields.shopify.lubricant-application),Material (product.metafields.shopify.material),Pasta type (product.metafields.shopify.pasta-type),Pet supply product form (product.metafields.shopify.pet-supply-product-form),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Tea input type (product.metafields.shopify.tea-input-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
75810120262,SAN J    Cooking Sauces Gluten Free    SAN J    Cooking Sauces Gluten Free    Szechuan Sauce 296mL,<p>SAN J    Cooking Sauces Gluten Free    SAN J    Cooking Sauces Gluten Free    Szechuan Sauce 296mL</p>,Puresource,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,SAN12026,3269,shopify,continue,manual,7.97,9.56,TRUE,TRUE,'075810120262,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,4.98,active
8.33125E+11,Rizopia Rice Pasta   Organic Quinoa Pasta   Quinoa & Brown Rice Spaghetti340G,<p>Rizopia Rice Pasta   Organic Quinoa Pasta   Quinoa &amp; Brown Rice Spaghetti340G</p>,UNFI Canada Grocery Central,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,RIZ121-UNFI,3269,shopify,continue,manual,4.56,5.47,TRUE,TRUE,'833125006011,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3,active
8.33125E+11,Rizopia Rice Pasta   Organic Rice Pasta   Brown Rice Fusilli454G,<p>Rizopia Rice Pasta   Organic Rice Pasta   Brown Rice Fusilli454G</p>,UNFI Canada Grocery Central,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,RIZ113-UNFI,3269,shopify,continue,manual,4.56,5.47,TRUE,TRUE,'833125001139,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3,active
8.33125E+11,Rizopia Rice Pasta   Organic Rice Pasta   Brown Rice Spaghetti454G,<p>Rizopia Rice Pasta   Organic Rice Pasta   Brown Rice Spaghetti454G</p>,UNFI Canada Grocery Central,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,RIZ111-UNFI,3269,shopify,continue,manual,4.56,5.47,TRUE,TRUE,'833125001115,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3,active
8.33125E+11,Rizopia Rice Pasta   100% Rice Pasta   Brown Rice Spiral454G,<p>Rizopia Rice Pasta   100% Rice Pasta   Brown Rice Spiral454G</p>,UNFI Canada Grocery Central,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,RIZ107-UNFI,3269,shopify,continue,manual,3.44,4.13,TRUE,TRUE,'833125001078,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2,active
8.33125E+11,Rizopia Rice Pasta   100% Rice Pasta   Brown Rice Fusilli454G,<p>Rizopia Rice Pasta   100% Rice Pasta   Brown Rice Fusilli454G</p>,UNFI Canada Grocery Central,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,RIZ104-UNFI,3269,shopify,continue,manual,3.44,4.13,TRUE,TRUE,'833125001030,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2,active
8.33125E+11,Rizopia Rice Pasta   100% Rice Pasta   Brown Rice Spaghetti454G,<p>Rizopia Rice Pasta   100% Rice Pasta   Brown Rice Spaghetti454G</p>,UNFI Canada Grocery Central,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,RIZ101-UNFI,3269,shopify,continue,manual,3.44,4.13,TRUE,TRUE,'833125001016,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2,active
8.33125E+11,Rizopia Rice Pasta   100% Rice Pasta   White Rice Spaghetti454G,<p>Rizopia Rice Pasta   100% Rice Pasta   White Rice Spaghetti454G</p>,UNFI Canada Grocery Central,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,RIZ001-UNFI,3269,shopify,continue,manual,3.44,4.13,TRUE,TRUE,'833125000019,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2,active
7.82126E+11,NATRACARE    Pads Natural Ultra    NATRACARE    Pads Natural Ultra    Ultra Pad w/Wings Regular 14ct,<p>NATRACARE    Pads Natural Ultra    NATRACARE    Pads Natural Ultra    Ultra Pad w/Wings Regular 14ct</p>,Puresource,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,NTC00305,3269,shopify,continue,manual,7.79,9.35,TRUE,TRUE,'782126003058,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,4.87,active
7.82126E+11,NATRACARE    Tampons Non Applicator Style    NATRACARE    Tampons Non Applicator Style    Org Regular Tampons 20ct,<p>NATRACARE    Tampons Non Applicator Style    NATRACARE    Tampons Non Applicator Style    Org Regular Tampons 20ct</p>,Puresource,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,NTC00100,3269,shopify,continue,manual,9.06,10.87,TRUE,TRUE,'782126001009,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,5.66,active
